Timestamp,From Bank,Account,To Bank,Account.1,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is Laundering
2022/09/01 00:22,2845,8048442A0,2845,8048442A0,8474.24,US Dollar,8474.24,US Dollar,Reinvestment,0
2022/09/01 00:16,13145,803EA82D0,13145,803EA82D0,351811.03,US Dollar,351811.03,US Dollar,Reinvestment,0
2022/09/01 00:13,23537,808094A70,23537,808094A70,18.71,US Dollar,18.71,US Dollar,Reinvestment,0
2022/09/01 00:28,70,100428660,1601,8010D01B0,40228.29,US Dollar,40228.29,US Dollar,Cheque,0
2022/09/01 00:23,11318,800C4B390,11318,800C4B390,40068.3,US Dollar,40068.3,US Dollar,Reinvestment,0
2022/09/01 00:21,70,100428660,1124,800825340,389769.39,US Dollar,389769.39,US Dollar,Cheque,1
2022/09/01 00:03,70,100428660,11474,805B716C0,29024.33,US Dollar,29024.33,US Dollar,Credit Card,1
2022/09/01 00:01,70,100428660,15980,80B39E7B0,792.92,US Dollar,792.92,US Dollar,Credit Card,1
2022/09/01 00:03,70,100428660,113798,80DC756E0,13171425.53,US Dollar,13171425.53,US Dollar,Cheque,1
2022/09/01 00:23,70,100428660,32375,80E480620,14288.83,US Dollar,14288.83,US Dollar,Cash,1
2022/09/01 00:29,324580,80B838F30,324580,80B838F30,5490.07,Euro,5490.07,Euro,Reinvestment,0
2022/09/01 00:29,11,8001B5780,2915,802BB96A0,13507.57,Euro,13507.57,Euro,Cash,0
2022/09/01 00:17,3514,807790C10,3514,807790C10,15429.58,Euro,15429.58,Euro,Reinvestment,0
2022/09/01 00:19,129076,80BBE9D70,129076,80BBE9D70,1911.03,Euro,1911.03,Euro,Reinvestment,0
2022/09/01 00:02,34691,803A561C0,34691,803A561C0,781.82,Euro,781.82,Euro,Reinvestment,0
2022/09/01 00:15,17610,8033961D0,17610,8033961D0,924.73,Euro,924.73,Euro,Reinvestment,0
2022/09/01 00:19,136301,81045DF10,123773,810B1EFF0,69096.71,US Dollar,69096.71,US Dollar,Cash,0
2022/09/01 00:20,13345,8056D51C0,16011,8056D5210,3358442.0,Euro,3358442.0,Euro,Cheque,0
2022/09/01 00:27,143995,813A26E10,143995,813A26E10,17804.52,US Dollar,17804.52,US Dollar,Reinvestment,0
2022/09/01 00:22,139216,80EBE3F80,139216,80EBE3F80,4255.47,Euro,4255.47,Euro,Reinvestment,0
2022/09/01 00:04,1502,8022887C0,1502,8022887C0,14202.73,Euro,14202.73,Euro,Reinvestment,0
2022/09/01 00:24,1501,800C79F50,1501,800C79F50,5083.78,Euro,5083.78,Euro,Reinvestment,0
2022/09/01 00:14,70,1004286A8,26818,80B63B490,2385.61,Euro,2385.61,Euro,Credit Card,0
2022/09/01 00:07,27241,80850B6B0,27241,80850B6B0,547969.88,Euro,547969.88,Euro,Reinvestment,0
2022/09/01 00:17,111326,80500FB90,111326,80500FB90,236.22,Euro,236.22,Euro,Reinvestment,0
2022/09/01 00:14,1502,8017AD210,1502,8017AD210,19.08,Euro,19.08,Euro,Reinvestment,0
2022/09/01 00:19,5464,8028E7B60,16643,80A075F00,2333.69,Euro,2333.69,Euro,Credit Card,0
