Timestamp,From Bank,Account,To Bank,Account.1,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is Laundering
2022/09/01 00:11,11661,805678930,11661,805678930,24.68,US Dollar,24.68,US Dollar,Reinvestment,0
2022/09/01 00:08,3597,801EF3270,3597,801EF3270,11.74,US Dollar,11.74,US Dollar,Reinvestment,0
2022/09/01 00:13,27155,806904760,27155,806904760,5.25,US Dollar,5.25,US Dollar,Reinvestment,0
2022/09/01 00:02,70,10042B660,22661,805F7F2B0,70831.64,US Dollar,70831.64,US Dollar,Cash,1
2022/09/01 00:19,70,10042B660,212996,80609B4C0,33705.47,US Dollar,33705.47,US Dollar,Cash,1
2022/09/01 00:01,70,10042B660,11305,807861770,1097976.27,US Dollar,1097976.27,US Dollar,Cash,1
2022/09/01 00:20,70,10042B660,12966,816AF0670,18941.61,US Dollar,18941.61,US Dollar,Cash,0
2022/09/01 00:14,126588,816330270,140626,815920360,7.18,US Dollar,7.18,US Dollar,Credit Card,0
2022/09/01 00:24,15680,819CD5F60,15680,819CD5F60,96828.13,US Dollar,96828.13,US Dollar,Reinvestment,0
2022/09/01 00:29,320229,812565CA0,320229,812565CA0,894.62,US Dollar,894.62,US Dollar,Reinvestment,0
2022/09/01 00:05,5571,811BAF070,5571,811BAF070,6.58,US Dollar,6.58,US Dollar,Reinvestment,0
2022/09/01 00:00,11968,815630C40,249349,815635220,892.33,US Dollar,892.33,US Dollar,ACH,1
2022/09/01 00:25,70,10042B660,11968,816F93AF0,1808.14,US Dollar,1808.14,US Dollar,Cheque,1
2022/09/01 00:15,269198,81A1C7C80,1291,81A1C7D20,2365.38,US Dollar,2365.38,US Dollar,ACH,1
2022/09/01 00:03,70,10042B6A8,212854,806242CD0,22478.74,Euro,22478.74,Euro,Cash,1
2022/09/01 00:03,70,10042B6A8,115332,806573660,9626868.13,Euro,9626868.13,Euro,Cash,1
2022/09/01 00:06,231755,81082E650,231755,81082E650,13.31,Euro,13.31,Euro,Reinvestment,0
2022/09/01 00:14,231026,80D695710,12055,80D6918F0,2436.97,Euro,2436.97,Euro,ACH,0
2022/09/01 00:11,70,10042B6F0,9976,803A2BC70,76688.88,Yuan,76688.88,Yuan,Cash,1
2022/09/01 00:03,70,10042B6F0,111615,8045CDF10,148561310.6,Yuan,148561310.6,Yuan,Cash,1
2022/09/01 00:27,119699,80A32EF80,224257,80E830390,1039199115.45,Rupee,1039199115.45,Rupee,Cheque,0
2022/09/01 00:28,223281,8099ACD50,223281,8099ACD50,891.24,Rupee,891.24,Rupee,Reinvestment,0
2022/09/01 00:12,32979,80C19A0F0,32979,80C19A0F0,260.86,Ruble,260.86,Ruble,Reinvestment,0
2022/09/01 00:19,70,10042B7C8,23,80C07E220,166980.9,Ruble,166980.9,Ruble,Cheque,1
2022/09/01 00:29,70,10042B810,233674,80C8D2440,5535.34,UK Pound,5535.34,UK Pound,Cheque,1
2022/09/01 00:05,70,10042B978,54266,81468BEA0,44.54,Swiss Franc,44.54,Swiss Franc,Cheque,1
2022/09/01 00:25,69465,8197DF801,70846,81A25A6A1,0.643017,Bitcoin,0.643017,Bitcoin,Bitcoin,0
